	Bacteria	Homo Sapiens	Viruses	Bacteria	Homo Sapiens	Viruses
L1629	9.64	2.11	0.02	5404	1184	11
L1631	61.11	1.09	0.01	371454	6614	64
L1633	35.63	1.65	0.00	411195	19044	31
L1635	29.07	12.26	0.01	27680	11671	5
L1636	34.79	2.21	0.00	48271	3073	3
L1637	20.44	22.12	0.01	10537	11402	4
L1639	0	30	0.00	0	3	0
L1641	38.57	1.62	0.00	23542	989	2
L1646	48.66	2.05	0.00	17929	757	0
L1648	12.66	0.12	0.00	14422	141	1
L1649	59.3	16.67	0.00	59427	16703	0
L1650	28.46	11.29	0.00	19968	7920	3
L1651	31.58	0.38	0.00	30810	373	2
L1652	19.85	15.49	0.00	33318	26004	8
L1653	10.94	22.13	0.02	9269	18758	18
L1656	38.06	0.13	0.00	35379	124	4
L1702	0.39	67.81	0.00	3181	551007	5
L1703	41.97	1.29	0.01	66331	2038	8
L1704	21.88	0.4	0.01	62640	1154	15
L1706	0.84	59.07	0.01	4044	283333	30
L1727	8.26	39.02	0.01	117576	555231	83
L1728	1.19	59.15	0.01	16463	820444	79
L1732	16.7	35.95	0.05	77496	166841	245
L1734	9.18	49.97	0.00	50365	274228	17
L1735	11.63	8.13	0.01	64076	44801	35
L1737	10.39	10.27	0.00	13249	13096	6
L1739	20.88	43.68	0.01	9885	20681	7
L1743	39.42	0.63	0.00	30411	484	3
L1873	0.86	58.13	0.00	3291	221367	6
L1874	2.26	63.58	0.01	19445	548066	92
L1875	27.14	14.49	0.00	256265	136788	38
L1876	1.09	3.82	0.01	4450	15589	60
L1877	10.55	32.52	0.01	50954	157113	65
L1878	5.02	56.26	0.01	14185	158999	21
L1879	1.31	76.93	0.00	6506	380628	10
L1880	8.25	8.56	0.00	18051	18721	8
L1881	15.1	20.81	0.01	38187	52607	23
L1910	5.21	63.19	0.00	2586	31379	1
L1911	20.8	39.61	0.01	65732	125200	24
L1912	8.86	48.74	0.00	6151	33851	3
L1913	32.11	6.11	0.00	18137	3450	1
L1914	8.26	17.01	0.01	16249	33474	19
L19152	4.55	54.55	0.00	3	36	0
L1916	2.06	67.16	0.07	2100	68462	74
L1917	4.99	3.57	0.01	2192	1566	5
L1918	22.95	15.32	0.01	47786	31903	12
L1946	8.21	55.75	3.25	23809	161670	9420
L1947	19.42	29.3	1.65	66065	99674	5599
L1948	8.22	27.27	0.35	1990	6603	84
L1949	3.36	37.1	19.13	657	7248	3737
L1950	53.52	1.41	0.00	114836	3023	10
L1951	30.18	2.78	0.02	53302	4904	36
L1952	13.2	0.66	0.00	13584	680	2
L1953	0.47	39.76	0.00	380	32277	2
L1954	23.96	45.33	0.00	69311	131104	14
L1955	0.48	68.04	0.01	2950	413973	39
L1956	64.28	1.85	0.02	76265	2200	20
L2024	1.71	49.59	0.01	1913	55492	10
L2025	20.94	47.92	0.02	43237	98943	34
L2026	11.78	38.51	0.00	13849	45289	3
L2027	32.63	35.95	0.01	31633	34852	9
L2028	21.09	33.37	0.36	32319	51145	549
L2029	42.44	11.51	0.00	53687	14557	6
L2030	0.17	69.5	0.01	545	224933	17
L2031	9.88	39.42	0.03	8541	34078	23
L2032	9.02	16.25	0.12	2198	3959	30
L2033	0.29	70.47	0.01	4312	1034540	176
L2034	8.59	18.99	0.01	599	1324	1
L2035	14.92	9.14	0.01	3292	2018	3
L2036	1.07	62.72	0.01	2957	173753	15
L2037	27.78	19.13	0.01	17261	11889	5
L2038	31.59	0.63	0.01	14483	290	6
L2039	1.71	1.86	0.02	2089	2275	20
L2040	0.09	59.1	0.00	327	217474	11
L2041	0.14	53.07	0.01	200	77279	10
L2042	21.92	2.29	0.76	10745	1122	371
L2043	0.41	64.21	0.01	2228	346367	34
L2044	3.29	48.96	0.04	10188	151746	120
L2045	32.56	17.82	0.02	27772	15197	20
L2046	0.19	57.04	0.01	643	192196	21
L2047	28.38	1.35	0.00	21	1	0
L2048	0.71	68.91	0.02	6110	595395	142
L2049	0.23	73.98	0.00	3	975	0
L2050	7.47	25.67	0.01	28775	98919	40
L2051	25.83	13.51	0.00	6012	3143	1
L2052	26.94	10.48	0.35	18193	7079	237
L2053	10.68	25.98	0.00	37854	92104	11
L2127	0.89	75.59	0.00	19332	1650186	81
L2128	33.11	3.93	0.01	139093	16520	39
L2129	52.68	0.45	0.00	173000	1489	16
L2130	83.47	0.63	0.01	137674	1043	12
L2131	24.11	0.54	0.05	136601	3041	259
L2132	4.55	80.36	0.00	42268	747038	22
L2133	40.56	1.78	0.01	95135	4169	28
L2134	62.77	0.25	0.00	168818	671	4
L2135	54.41	7.64	0.03	96449	13545	52
L2136	12.13	40.07	0.02	64364	212564	113
L2137	10.15	1.2	0.08	20658	2444	165
L2138	0.35	70.75	0.01	5594	1144425	104
L2177	32.36	0.14	0.01	49417	214	8
L2178	3.13	58.23	0.00	13251	246662	19
L2179	0.97	3.27	0.01	1770	5940	21
L2180	6.12	59.28	0.02	10258	99346	31
L2181	43.71	1.6	0.01	59121	2171	7
L2182	11.64	2.82	0.00	56481	13665	22
L2183	40.67	4.44	0.00	114773	12517	8
L2184	14.1	57.79	0.06	39707	162772	179
L2185	58.01	20.29	0.00	118435	41416	4
L2186	0.3	86.49	0.00	1906	554490	11
L2187	0.12	81.29	0.01	680	476721	81
L2188	13.72	62.19	0.01	34905	158182	26
L2189	17.75	49.52	0.00	34102	95147	4
L2190	5.29	71.37	0.00	16967	228923	9
L2191	0.1	84.62	0.00	894	728014	23
L2192	3.67	0.8	0.02	409	89	2
L2193	1.71	60.86	0.00	4829	172194	10
L2194	1.02	64.95	0.00	5155	328151	16
L3056	11.04	15.02	0.01	96159	130800	115
L3057	53.02	17.97	0.00	202630	68668	13
L3058	16.92	2.68	0.01	111669	17693	54
L3059	0.27	63.8	0.00	6142	1439430	86
L3060	72.93	0.87	0.03	325243	3889	121
L3061	19.73	38.73	0.02	240842	472710	285
L3062	4.88	32.92	0.02	43995	296918	189
L3063	39.6	11.21	0.02	159974	45262	81
L3064	31.5	41.68	0.53	414115	548015	6930
L3065	14.46	50.28	0.11	46845	162841	348
L3066	4.16	52.86	0.06	69137	879427	980
L3067	0.17	51.11	0.00	578	169814	7
L3068	1.77	50.3	0.00	15727	446965	15
L3069	44.73	2.82	0.03	63359	3990	41
L3070	23.43	23.64	0.02	188904	190588	126
L3071	32.68	35.63	0.01	286427	312332	81
L3072	0.35	58.46	0.01	2949	489103	65
L3073	39.88	2.3	0.02	703717	40560	298
L3074	7.25	53.26	0.02	50695	372557	153
L3075	0.08	52.69	0.00	701	491969	7
L3076	47.11	26.07	0.02	698148	386322	301
L3077	51.99	2.65	0.07	832030	42365	1088
L3078	16.74	39.68	0.05	211200	500641	636
L3079	2.54	69.14	0.01	64231	1748618	138
L3080	0.74	70.76	0.00	87083	8291774	475
L3081	31.23	7.86	0.04	677995	170542	833
L3082	20.92	27.25	0.01	489450	637547	175
L3083	36.1	15.29	0.03	199364	84460	184
L3084	38.95	31.63	0.09	110871	90055	248
L3087	19.45	31.1	0.00	109799	175551	18
L3088	53.81	5.73	0.07	22512	2397	31
L3090	8.13	23.04	0.01	26860	76084	20
L3091	15.33	38.84	0.01	138978	352106	94
L3092	27.15	32.7	0.10	37498	45164	145
L3093	5.5	53.98	0.04	67218	660199	548
L3094	3.47	30.5	0.12	9519	83676	323
L3095	0.97	61.41	0.08	3281	206924	286
L3096	36.8	5.36	0.02	121644	17728	81
L3101	66.67	1.34	0.11	137467	2768	228
L3103	27.49	6.98	0.01	535216	135980	187
L3104	16.67	1.83	0.01	170974	18764	102
L3107	10.07	25.95	0.00	110151	283875	25
L3108	11.93	21.77	0.01	190396	347514	138
L3109	34.66	7.22	0.08	176855	36851	412
L3111	37.32	0.65	0.00	83594	1458	4
L3112	13.57	7.61	0.05	28005	15696	102
L3113	66.36	0.16	0.01	164640	403	19
L3118	31.6	0.86	0.01	142434	3864	53
L3119	40	3.52	0.01	99047	8719	22
L3120	9.8	18	0.01	105256	193436	149
L3121	42.37	1.66	0.07	313923	12289	513
L3122	6.13	7.27	0.01	36213	42910	52
L3123	8.82	31.35	0.12	32806	116646	459
L3124	8.34	0.09	0.00	5847	62	1
L3125	15.41	18.78	0.01	240749	293340	86
L3126	8.36	26	0.01	68699	213751	71
L3127	5.93	59.05	0.01	101808	1014508	124
L3129	9.15	28.87	0.01	52017	164163	68
L3138	27.23	11.92	0.04	100293	43917	154
L3140	13.42	3.67	0.02	38084	10420	52
L3142	0.42	72.44	0.00	8340	1451883	56
L3143	36.78	1.79	0.01	335422	16356	104
L3145	0.32	76.85	0.01	8573	2082203	148
L3148	17.39	0.42	0.03	135777	3309	217
L3149	20.72	0.38	0.02	95513	1755	82
L3152	0.99	73.67	0.01	26309	1957426	161
L3801	28.24	19.16	0.00	102313	69402	16
L3806	7.64	61.44	0.01	60746	488597	60
L3809	4.91	65.83	0.01	33574	449847	57
L3813	20.98	20.65	0.01	69089	67993	39
L3842	0.28	3.86	0.01	10530	147399	477
L3844	16.44	18.21	0.02	100659	111466	114
L3845	25.81	1.2	0.06	45608	2128	107
L3846	33.17	7.76	0.01	290283	67940	53
L3847	8.82	33.94	0.01	144698	556808	98
L3848	59.48	5.44	0.07	907	83	1
L3849	65.1	5.25	0.00	215527	17391	8
L3850	5.74	49.94	0.01	37762	328348	39
L3851	12.86	66.97	0.01	53722	279789	25
L3852	6.29	54.19	0.01	75494	650350	136
L3853	43.68	9.56	0.06	146198	31984	188
L3854	4.02	14.49	0.59	9443	34047	1385
L3855	45.81	34.42	0.01	258644	194341	69
L3856	0.42	67.1	0.01	3411	546906	47
L3857	30.38	12.16	0.01	353503	141462	99
L3858	25.6	34.68	0.02	42482	57567	25
L3859	63.12	14.69	0.25	217313	50560	874
L3861	1.05	68.26	0.01	11803	769784	85
L3862	67.25	1.31	0.01	254815	4948	31
L3863	17.54	3.79	0.14	156047	33741	1230
L3865	25.73	0.34	0.01	85843	1139	34
L3866	30.73	8.93	0.01	132335	38467	59
L3867	0.32	78.17	0.00	4311	1068198	52
L3868	0.89	75.61	0.01	8182	697251	73
L3869	38.97	15.1	0.01	200452	77673	31
L3871	0.37	77.69	0.02	3161	669346	177
L3872	20.06	16.84	0.03	137585	115495	199
